original,corregido
"Градски Стадион Радовиш, Радовиш","Градски стадион (Радовиш)"
"Градски Стадион Свети Николе, Свети Николе","Градски стадион (Свети Николе)"
"Градски Стадион Струга, Струга","Градски стадион (Струга)"
"Градски Стадион Тетово, Тетово","Градски стадион (Тетово)"
"Градски Стадион Штип, Штип","Градски стадион (Штип)"
"Градски Стадион-ресен, Ресен","Градски стадион (Ресен)"
"Градски, Куманово","Градски стадион (Куманово)"
"Игралиште  Во  с. Камењане, С. Камењане , Боговиње","Игралиште во Камењане (Боговиње)"
"Игралиште  Во  С. Пирок, С. Пирок","Игралиште во Пирок (Боговиње)"
"Игралиште  Во Драчево, Драчево-скопје","Игралиште во Драчево (Кисела Вода, Скопје)"
"Игралиште  Волково, Скопје","Игралиште во Волково (Ѓорче Петров, Скопје)"
"Игралиште  Кадино - Прилеп, С.кадино Прилеп","Игралиште во Кадино (Прилеп)"
"Игралиште  На Амс  Во  С. Теарце, С. Теарце","Игралиште на АМС (Теарце)"
"Игралиште  Студеничани, Скопје","Игралиште во Студеничани (Студеничани)"
"Игралиште -могила-, Прилеп","Игралиште „Могила“ (Прилеп)"
"Игралиште „дамјан Груев“ Чешиново (ново), Чешиново","Игралиште „Дамјан Груев“ (Чешиново)"
"Игралиште „зрновка“, Зрновци","Игралиште „Зрновка“ (Зрновци)"
"Игралиште 7-март-чаир-скопје, Скопје","Игралиште „7 Март“ (Чаир, Скопје)"
"Игралиште Абдулмеџид Шахини, С.слупчане","Игралиште „Абдулмеџид Шахини“ (Слупчане)"
"Игралиште Амс Во Росоман, Росоман","Игралиште на АМС (Росоман)"
"Игралиште Амс С.карбинци, С.карбинци","Игралиште на АМС (Карбинци)"
"Игралиште Бело Брдо, Штип","Игралиште „Бело Брдо“ (Штип)"
"Игралиште Брвеница, С. Брвеница - Брвеница","Игралиште во Брвеница (Брвеница)"
"Игралиште Бриони Во С. Челопек, С. Челопек - Тетово","Игралиште „Бриони“ во Челопек (Тетово)"
"Игралиште Во Боговиње, С. Боговиње","Игралиште во Боговиње (Боговиње)"
"Игралиште Во Вашарејце, С.вашарејца.могила","Игралиште во Вашарејца (Могила)"
"Игралиште Во Горно Оризари, Битола","Игралиште во Горно Оризари (Битола)"
"Игралиште Во Долно Лисиче, Долно Лисиче-скопје","Игралиште во Долно Лисиче (Аеродром, Скопје)"
"Игралиште Во Н.превалец Велес, Велес","Игралиште во Превалец (Велес)"
"Игралиште Во Нас.чашка, Велес","Игралиште во Чашка (Велес)"
"Игралиште Во Населба А.б. Теќе , Тетово, Тетово","Игралиште „А.Б. Теќе“ (Тетово)"
"Игралиште Во Поешево, Поешево","Игралиште во Поешево (Битола)"
"Игралиште Во С. Башино Село, Велес","Игралиште во Башино Село (Велес)"
"Игралиште Во С. Богомила, Чашка","Игралиште во Богомила (Чашка)"
"Игралиште Во С. Буково, С. Буково","Игралиште во Буково (Битола)"
"Игралиште Во С. Голема Речица , Тетово, С. Голема Речица , Тетово","Игралиште во Голема Речица (Тетово)"
"Игралиште Во С. Големо Коњари, Прилеп, С.големо Коњари Прилеп","Игралиште во Големо Коњари (Прилеп)"
"Игралиште Во С. Добрушево, С. Добрушево","Игралиште во Добрушево (Могила)"
"Игралиште Во С. Ивањевци, С. Ивањевци","Игралиште во Ивањевци (Могила)"
"Игралиште Во С. Јегуновце, С. Јегуновце","Игралиште во Јегуновце (Јегуновце)"
"Игралиште Во С. Кукуречани, С. Кукуречани","Игралиште во Кукуречани (Битола)"
"Игралиште Во С. Логоварди, С. Логоварди","Игралиште во Логоварди (Битола)"
"Игралиште Во С. Лознани, С. Лознани","Игралиште во Лознани (Могила)"
"Игралиште Во С. Мешеишта, С. Мешеишта Охрид","Игралиште во Мешеишта (Охрид)"
"Игралиште Во С. Ношпал, С. Ношпал","Игралиште во Ношпал (Могила)"
"Игралиште Во С.боротино, С.боротино, Кривогаштани","Игралиште во Боротино (Кривогаштани)"
"Игралиште Во С.велешта, Струга","Игралиште во Велешта (Струга)"
"Игралиште Во С.доброште, С.доброште, Тетово","Игралиште во Доброште (Тетово)"
"Игралиште Во С.житоше, С.житоше","Игралиште во Житоше (Долнени)"
"Игралиште Во С.забрчани, С.забрчани, Долнени - Прилеп","Игралиште во Забрчани (Долнени)"
"Игралиште Во С.кравари, Кравари","Игралиште во Кравари (Битола)"
"Игралиште Во С.мало Коњари, Прилеп","Игралиште во Мало Коњари (Прилеп)"
"Игралиште Во С.радолишта, Струга","Игралиште во Радолишта (Струга)"
"Игралиште Горни Подлог- Кочани, Горни Подлог","Игралиште во Горни Подлог (Кочани)"
"Игралиште Горно Лисиче, Горно Лисиче","Игралиште во Горно Лисиче (Аеродром, Скопје)"
"Игралиште Градски Базен, Прилеп","Игралиште Градски базен (Прилеп)"
"Игралиште Десово, С.десово","Игралиште во Десово (Долнени)"
"Игралиште Единство С.раштани, С.раштани, Велес","Игралиште „Единство“ (Раштани, Велес)"
"Игралиште Јован Мандаровски, Пржино - Скопје","Игралиште „Јован Мандаровски“ во Пржино (Кисела Вода, Скопје)"
"Игралиште Канатларци, С.канатларци","Игралиште во Канатларци (Прилеп)"
"Игралиште Козјак С.старо Нагоричане, С.старо Нагоричане","Игралиште „Козјак“ (Старо Нагоричане)"
"Игралиште Кривогаштани, Кривогаштани - Прилеп","Игралиште во Кривогаштани (Прилеп)"
"Игралиште Мажучиште, С.мажучиште","Игралиште во Мажучиште (Прилеп)"
"Игралиште Мало Коњари, С. Мало Коњари, Прилеп","Игралиште во Мало Коњари (Прилеп)"
"Игралиште На Амс Во Аеродром, Скопје","Игралиште на АМС (Аеродром, Скопје)"
"Игралиште На Амс Во Ново Лисиче, Скопје","Игралиште на АМС Ново Лисиче (Аеродром, Скопје)"
"Игралиште На Амс Кичево, Кичево","Игралиште на АМС (Кичево)"
"Игралиште На Амс С.могила, Могила","Игралиште на АМС (Могила)"
"Игралиште На Амс Сц Тетово, Тетово","Игралиште на АМС (Тетово)"
"Игралиште На Амс, Ѓорче Петров, Скопје","Игралиште на АМС (Ѓорче Петров, Скопје)"
"Игралиште На Амс, Градско, Градско","Игралиште на АМС (Градско)"
"Игралиште На Фк Велешта, Велешта","Игралиште ФК Велешта (Велешта)"
"Игралиште Обршани, С.обршани","Игралиште во Обршани (Кривогаштани)"
"Игралиште Опае, С.опае","Игралиште во Опае (Липково)"
"Игралиште Павел Шатев, Битола","Игралиште „Павел Шатев“ во Ќумурно (Битола)"
"Игралиште С Беранци, С Беранци","Игралиште во Беранци (Могила)"
"Игралиште С. Новаци, Новаци","Игралиште во Новаци (Новаци)"
"Игралиште С. Слатино, С. Слатино Охрид","Игралиште во Слатино (Охрид)"
"Игралиште С.добромири, С.добромири","Игралиште во Добромири (Новаци)"
"Игралиште С.заполжани, С.заполжани","Игралиште во Заполжани (Долнени)"
"Игралиште С.лисолај, С.лисолај","Игралиште во Лисолај (Битола)"
"Игралиште С.порој, Порој","Игралиште во Порој (Тетово)"
"Игралиште С.ржаничино, Скопје","Игралиште во Р’жаничино (Петровец)"
"Игралиште С.српци, С.српци","Игралиште во Српци (Битола)"
"Игралиште С.фурка, Фурка, Дојран","Игралиште во Фурка (Дојран)"
"Игралиште С.чарлија, С.чарчија","Игралиште во Чарлија (Могила)"
"Играчиште С.долно Оризар, С.долно Оризари","Игралиште во Долно Оризари (Битола)"
"Игралиште Со Вештачка Трева, Прилеп","Игралиште со вештачка трева (Прилеп)"
"Игралиште Фк Влазними Струга, Струга","Игралиште ФК Влазними (Струга)"
"Игралиште Циглана Драчево, Драчево-скопје","Игралиште „Циглана“ во Драчево (Кисела Вода, Скопје)"
"Игралиште Чагор, Лопатица","Игралиште „Чагор“ во Лопатица (Битола)"
"Играчиште С.долно Оризар, С.долно Оризари","Игралиште во Долно Оризари"
"Национална Арена  „тодор Проески“ Скопје, Скопје","Национална арена „Тодор Проески“ (Центар, Скопје)"
"Општинско Фудбалско Игралиште Струмица, Струмица","Игралиште “Филип Лазаревски„ (Струмица)"
"Помошен Терен Биљанини Извори, Охрид","Помошен терен „Билјанини извори“ (Охрид)"
"Сабри Салиу-ариф Алили, С.липково","Стадион „Сабри Салиу - Ариф Алили“ (Липково)"
"Спортска Сала Куманово, Куманово","Спортска сала (Куманово)"
"Срц ,, Биљанини Извори,, - Охрид, Охрид","СРЦ „Билјанини извори“ (Охрид)"
"Срц„железарница“ - Скопје, Скопје","СРЦ „Железарница“ (Гази Баба, Скопје)"
"Стадион  Бутел, Н.бутел,скопје","Стадион Бутел (Бутел, Скопје)"
"Стадион „борис Трајковски“-маџари, Скопје, Скопје","Стадион „Борис Трајковски“ во Маџари (Гази Баба, Скопје)"
"Стадион „гоце Делчев“ Прилеп, Прилеп","Стадион „Гоце Делчев“ (Прилеп)"
"Стадион „кукуш“ Турново, Турново","Стадион „Кукуш“ (Турново)"
"Стадион ""леска"" С.форино-гостивар, С.форино","Стадион „Леска“ во Форино (Гостивар)"
"Стадион „младост“ Струмица, Струмица","Стадион „Младост“ (Струмица)"
"Стадион „фк Цементарница 55“-скопје, Скопје","Стадион ФК Цементарница 55 (Кисела Вода, Скопје)"
"Стадион Алумина, Скопје","Стадион Алумина (Карпош, Скопје)"
"Стадион Башкими, Куманово","Стадион Башкими (Куманово)"
"Стадион Бистренци, С. Бистренци Демир Капија","Стадион во Бистренци (Демир Капија)"
"Стадион Во С. Врапчиште, Врапчиште","Градски стадион (Врапчиште)"
"Стадион Војшанци, С. Војшанци Неготино","Стадион во Војшанци (Неготино)"
"Стадион Ѓорче Петров, Скопје","Стадион Ѓорче Петров (Ѓорче Петров, Скопје)"
"Стадион Делчево, Делчево","Градски стадион „Гоце Делчев“ (Делчево)"
"Стадион Дојранско Езеро, Нов Дојран","Стадион „Дојранско Езеро во Нов Дојран“ (Дојран)"
"Стадион Долни Дисан,  С. Долни Дисан Неготино","Стадион во Долни Дисан (Неготино)"
"Стадион Корешница, С. Корешница Демир Капија","Стадион во Корешница (Демир Капија)"
"Стадион Мороишта, С.мороишта","Стадион во Мороишта (Струга)"
"Стадион На Фк Локомотива, Скопје","Стадион ФК Локомотива (Карпош, Скопје)"
"Стадион Оризаре, С.оризаре","Стадион Оризаре (Шуто Оризари, Скопје)"
"Стадион Пепелиште, С. Пепелиште Неготино","Стадион во Пепелиште (Неготино)"
"Стадион С.бардовци, С.бардовци,скопје","Стадион во Бардовци (Карпош, Скопје)"
"Стадион С.љубин, Скопје","Стадион во Љубин (Сарај, Скопје)"
"Стадион С.неготино-полошко, С.неготино-полошко/гостивар","Стадион во Неготино-Полошко (Гостивар)"
"Стадион С.пчиња, С.пчиња, Куманово","Стадион во Пчиња (Куманово)"
"Стадион С.сенокос, С.сенокос","Стадион во Сенокос (Врапчиште)"
"Стадион Силекс, Кратово","Стадион Силекс (Кратово)"
"Стадион Тремник, С. Тремник Неготино","Стадион во Тремник (Неготино)"
"Стадион Фк Влазрими, Кичево","Стадион ФК Влазрими (Кичево)"
"Стадион Фк„гоце Делчев„, Скопје","Стадион ФК Гоце Делчев (Гази Баба, Скопје)"
"Стадион Фк„илинден„, Скопје","Стадион ФК Илинден (Илинден)"
"Стадион Фк„марино„, Скопје","Стадион ФК Марино (Илинден)"
"Стадион Чаир, Скопје","Стадион Чаир (Чаир, Скопје)"
"Стадион Шишево, С.шишево","Стадион во Шишево (Сарај, Скопје)"
"Терен Во С.средно Коњари, Гази Баба","Терен во Средно Коњари (Петровец)"
"Терен Во С.шемшово, С.шемшово, Јегуновце","Терен во Шемшово (Јегуновце)"
"Терен на АМС ЖФК АСС ЈУНАЈТЕД, Струга","Стадион АС Јунајтед (Струга)"
"Терен На Фк Ренова- Џепчиште, Џепчиште, Тетово","Стадион ФК Ренова во Џепчиште (Тетово)"
"Терен Со Вештачка Трева Срц Биљанини Извори -охрид, Охрид","Терен со вештачка трева „Билјанини извори“ (Охрид)"
"Терен Солидарност, Скопје","Терен „Солидарност“ (Гази Баба, Скопје)"
"Терен Фк„дељадровци„, Скопје","Терен ФК Дељадровци (Илинден)"
"Терен Фк„долно Коњари„, С.долно Коњари, Скопје","Терен ФК Долно Коњари (Петровец)"
"Терен Фк„инџиково„, С.инџиково, Скопје","Терен ФК Инџиково (Гази Баба, Скопје)"
"Терен Фк„кадино„, С.кадино-скопје","Терен ФК Кадино (Илинден)"
"Терен Фк„нова Колонија„, Нова Колонија, Скопје","Терен ФК Нова Колонија во Јурумлери (Гази Баба, Скопје)"
"Терен Фк„петровец„, С.петровец, Скопје","Терен ФК Петровец (Петровец)"
"Ф.к.дрита, С.боговиње, С.боговиње","Стадион ФК Дрита (Боговиње)"
"Фк Марена, Марена","Стадион ФК Марена (Кавадарци)"
"Фк Орашац, С.орашац-куманово","Стадион ФК Орашац (Куманово)"
"Фк Црна Река С.возарци, С.возарци, Кавадарци","Стадион ФК Црна Река во Возарци (Кавадарци)"
"Фк„раштак„, С.раштак, Скопје","Стадион ФК Раштак (Гази Баба, Скопје)"
"Фк„фортуна„, Скопје","Стадион ФК Фортуна во Ченто (Гази Баба, Скопје)"
"Фудбалски Стадион Градец,врапчиште, Градец","Стадион во Градец (Врапчиште)"
"Фудбалски Терен Агино Село, С.агино Село Куманово","Терен во Агино Село (Куманово)"
"Фудбалски Терен Костурник, С. Горно Којнаре Куманово","Терен „Костурник“ во Горно Којнаре (Куманово)"
"Фудбалски Терен Речица, С.речица Куманово","Стадион „Милутин Вељковиќ Уча“ во Речица (Куманово)"
"Фудбалски Терен С. Доброшане, С. Доброшане","Терен во Доброшане (Куманово)"
"Фудбалски Терен С. Речица Куманово,  С. Речица Куманово","Стадион „Милутин Вељковиќ Уча“ во Речица (Куманово)"
"Фудбалски Терен Тромеѓа, С.тромеѓа Куманово","Терен во Тромеѓа (Куманово)"
"Фудбалско Игралиште Амс, Валандово","Игралиште на АМС (Валандово)"
"Фудбалско Игралиште Кај Спортска Сала, Куманово","Игралиште кај Спортска сала (Куманово)"
"Фудбалско Игралиште Карпош, Куманово","Игралиште „Карпош“ (Куманово)"
"Фудбалско Игралиште На Амс, Гостивар","Игралиште на АМС (Гостивар)"
"Фудбалско Игралиште Пирава, С.пирава","Игралиште во Пирава (Валандово)"
"Стадион С.куклиш, С.куклиш Општина Струмица","Стадион „Кукуш“ во Турново (Струмица)"
"Молдова","Молдавија"
"Gibraltar","Гибралтар"
"Ajdari Ariana","Ајдари Ариана"
"Alomerovikj Ziza","Аломеровиќ Зиза"
"Andonova Natasha","Андонова Наташа"
"Andonova Sijce","Андонова Сијче"
"Asani Dzejljane","Асани Џејљане"
"Avramoska Ivana","Аврамоска Ивана"
"Bajrami Sejnur","Бајрами Сејнур"
"Bejtovikj Belma","Бејтовиќ Белма"
"Blazevska Dragica","Блажевска Драгица"
"Blazhevska Emilia","Блажевска Емилија"
"Bozhinoska Tea","Божиноска Теа"
"Cemkov Nikol","Цемков Никол"
"Cvetkoska Ana Marija","Цветкоска Ана Марија"
"Dalchevska Valentina","Далчевска Валентина"
"Dervishi Suarta","Дервиши Суарта"
"Doneva Sanja","Донева Сања"
"Galevska Gabriela","Галевска Габриела"
"Georgieva Angelina","Георгиева Ангелина"
"Georgieva Sljana","Георгиева Слјана"
"Georgieva Verica","Георгиева Верица"
"Gerasimovska Elizabeta","Герасимовска Елизабета"
"Gjerovska Mirjana","Ѓеровска Мирјана"
"Gorgievska Elena","Горгиевска Елена"
"Ignatovska Viktorija","Игнатовска Викторија"
"Isejni Ajna","Исејни Ајна"
"Ismaili Arbresa","Исмаили Арбреса"
"Ivanoska Marija","Иваноска Марија"
"Jahji Anida","Јахји Анида"
"Janceska Lence","Јанческа Ленце"
"Jankovska Tamara","Јанковска Тамара"
"Kabakchi Berna","Кабакчи Берна"
"Kirovska Kera","Кировска Кера"
"Krstanovska Simona","Крстановска Симона"
"Maceska Elena","Мацеска Елена"
"Mateska Hristina","Матеска Христина"
"Mehmedi Edina","Мехмеди Едина"
"Mena Sara","Мена Сара"
"Milenovska Mladenka","Миленовска Младенка"
"Milošeska Ina","Милошеска Ина"
"Mitrevski Noelle","Митревски Ноел"
"Mojsova Natalija","Мојсова Наталија"
"Nanceva Janinka","Нанцева Јанинка"
"Nastovska Ivona","Настовска Ивона"
"Nichevska Marija","Ничевска Марија"
"Nikolovska Dijana","Николовска Дијана"
"Nikolovska Ivana","Николовска Ивана"
"Olomani Krenare","Оломани Кренаре"
"Pesevska Sanja","Пешевска Сања"
"Petkovska Angela","Петковска Ангела"
"Petreska Elena","Петреска Елена"
"Petrova Cvetanka","Петрова Цветанка"
"Petrovska Biljana","Петровска Билјана"
"Pisanikoska Ivana","Писаникоска Ивана"
"Pizevska Rozeta","Пизевска Розета"
"Popeski Kalina","Попески Калина"
"Projkoska Ivana","Пројкоска Ивана"
"Radeska Elizabeta","Радеска Елизабета"
"Risteska Slagana","Ристеска Слаѓана"
"Ristova Vesna","Ристова Весна"
"Rochi Gentjana","Рочи Гентјана"
"Saliji Shkjipe","Салији Шќипе"
"Samardzievska Lina","Самарџиевска Лина"
"Shakiri Brikena","Шакири Брикена"
"Spasovska Anita","Спасовска Анита"
"Spiridonovska Sanja","Спиридоновска Сања"
"Spiroska Vesna","Спироска Весна"
"Stajić Vidanka","Стајиќ Виданка"
"Stoilkovich Natalija","Стоилковиќ Наталија"
"Stojanoska Mitra","Стојаноска Митра"
"Stojceska Hristina","Стојческа Христина"
"Sulejmani Lora","Сулејмани Лора"
"Sulejmani Mejreme","Сулејмани Мејреме"
"Tanceva Verica","Танцева Верица"
"Temkova Stojna","Темкова Стојна"
"Tragachevska Teodora","Трагачевска Теодора"
"Trajkova Blagica","Трајкова Благица"
"Trninkova Simona","Трнинкова Симона"
"Trpeska Aleksandra","Трпеска Александра"
"Vitanova Vesna","Витанова Весна"
"Vlafchevska Hristina","Влафчевска Христина"
"Zafirovska Angela","Зафировска Ангела"
"Zdraveva Kornelija","Здравева Корнелија"
